file,n,m,regime,pvc_size,pvc_proportion,winner,epsilon
00068-00001058.soi,15,10,n = m,2,0.2,3,0.0
00068-00001069.soi,15,15,n = m,7,0.4666666666666667,9,0.0
00068-00001072.soi,15,10,n = m,1,0.1,2,0.0
00068-00001074.soi,15,11,n = m,3,0.2727272727272727,7,0.0
00068-00001078.soi,15,12,n = m,3,0.25,2,0.0
00068-00001087.soi,15,13,n = m,2,0.15384615384615385,8,0.0
00068-00001092.soi,15,14,n = m,4,0.2857142857142857,10,0.0
00068-00001111.soi,15,10,n = m,3,0.3,10,0.03333333333333344
00068-00001118.soi,15,10,n = m,4,0.4,9,0.0
00068-00001128.soi,15,19,n = m,7,0.3684210526315789,19,0.21403508771929824
00068-00001129.soi,15,10,n = m,4,0.4,9,0.0
00068-00001135.soi,15,10,n = m,3,0.3,8,0.0
00068-00001146.soi,15,11,n = m,3,0.2727272727272727,10,0.0
00068-00001147.soi,15,10,n = m,5,0.5,2,0.0
00068-00001150.soi,15,11,n = m,4,0.36363636363636365,6,0.0
00068-00001152.soi,15,16,n = m,3,0.1875,14,0.0
00068-00001153.soi,15,13,n = m,3,0.23076923076923078,8,0.0
00068-00001165.soi,15,10,n = m,2,0.2,6,0.0
00068-00001186.soi,15,12,n = m,5,0.4166666666666667,9,0.0
00068-00001191.soi,15,13,n = m,3,0.23076923076923078,11,0.0
00068-00001203.soi,15,11,n = m,3,0.2727272727272727,7,0.0
00068-00001215.soi,15,19,n = m,6,0.3157894736842105,18,0.0
00068-00001217.soi,15,10,n = m,3,0.3,1,0.0
00068-00001218.soi,15,11,n = m,2,0.18181818181818182,6,0.0
00068-00001221.soi,15,11,n = m,3,0.2727272727272727,9,0.0
00068-00001224.soi,15,12,n = m,3,0.25,9,0.0
00068-00001234.soi,15,16,n = m,3,0.1875,13,0.0
00068-00001246.soi,15,10,n = m,2,0.2,3,0.0
00068-00001248.soi,15,11,n = m,4,0.36363636363636365,8,0.0
00068-00001250.soi,15,13,n = m,4,0.3076923076923077,12,0.0
00068-00001254.soi,15,11,n = m,6,0.5454545454545454,5,0.0
00068-00001259.soi,15,12,n = m,3,0.25,10,0.0
00068-00001270.soi,15,11,n = m,3,0.2727272727272727,2,0.0
00068-00001272.soi,15,12,n = m,3,0.25,11,0.03333333333333344
00068-00001274.soi,15,12,n = m,2,0.16666666666666666,3,0.0
00068-00001288.soi,15,15,n = m,3,0.2,15,0.19999999999999996
00068-00001292.soi,15,13,n = m,3,0.23076923076923078,10,0.0
00068-00001293.soi,15,12,n = m,1,0.08333333333333333,3,0.0
00068-00001296.soi,15,12,n = m,4,0.3333333333333333,6,0.0
00068-00001301.soi,15,10,n = m,4,0.4,4,0.0
00064-00000062.soi,84,26,n > m,8,0.3076923076923077,26,0.1996336996336996
00064-00000065.soi,84,26,n > m,9,0.34615384615384615,7,0.0
00064-00000068.soi,86,26,n > m,12,0.46153846153846156,1,0.0
00064-00000071.soi,82,26,n > m,13,0.5,11,0.0
