file,dataset,dataset_label,n,m,regime,group,pvc_size,pvc_proportion,winner,epsilon
00068-00000035.soi,polish,Polish,15,4,n ≫ m,Polish (n ≫ m),1,0.25,1,0.0
00068-00000039.soi,polish,Polish,15,7,n ≫ m,Polish (n ≫ m),3,0.42857142857142855,1,0.0
00068-00000043.soi,polish,Polish,15,7,n ≫ m,Polish (n ≫ m),4,0.5714285714285714,5,0.0
00068-00000050.soi,polish,Polish,15,7,n ≫ m,Polish (n ≫ m),4,0.5714285714285714,7,0.0
00068-00000051.soi,polish,Polish,21,9,n ≫ m,Polish (n ≫ m),5,0.5555555555555556,2,0.0
00068-00000052.soi,polish,Polish,15,7,n ≫ m,Polish (n ≫ m),3,0.42857142857142855,2,0.0
00068-00000055.soi,polish,Polish,15,5,n ≫ m,Polish (n ≫ m),3,0.6,2,0.0
00068-00000056.soi,polish,Polish,15,6,n ≫ m,Polish (n ≫ m),3,0.5,3,0.0
00068-00000059.soi,polish,Polish,15,4,n ≫ m,Polish (n ≫ m),1,0.25,2,0.0
00068-00000061.soi,polish,Polish,15,6,n ≫ m,Polish (n ≫ m),2,0.3333333333333333,2,0.0
00068-00000063.soi,polish,Polish,21,10,n ≫ m,Polish (n ≫ m),4,0.4,5,0.0
00068-00000067.soi,polish,Polish,15,7,n ≫ m,Polish (n ≫ m),3,0.42857142857142855,2,0.0
00068-00000069.soi,polish,Polish,23,8,n ≫ m,Polish (n ≫ m),1,0.125,5,0.0
00068-00000071.soi,polish,Polish,15,7,n ≫ m,Polish (n ≫ m),1,0.14285714285714285,7,0.0
00068-00000073.soi,polish,Polish,15,6,n ≫ m,Polish (n ≫ m),3,0.5,6,0.0
00068-00000074.soi,polish,Polish,21,10,n ≫ m,Polish (n ≫ m),6,0.6,1,0.0
00068-00000075.soi,polish,Polish,15,6,n ≫ m,Polish (n ≫ m),3,0.5,6,0.0
00068-00000076.soi,polish,Polish,15,5,n ≫ m,Polish (n ≫ m),3,0.6,5,0.0
00068-00000077.soi,polish,Polish,15,6,n ≫ m,Polish (n ≫ m),3,0.5,3,0.0
00068-00000078.soi,polish,Polish,15,6,n ≫ m,Polish (n ≫ m),3,0.5,6,0.0
00068-00000079.soi,polish,Polish,15,15,n ≈ m,Polish (n ≈ m),4,0.26666666666666666,15,0.0
00068-00000081.soi,polish,Polish,15,6,n ≫ m,Polish (n ≫ m),2,0.3333333333333333,5,0.0
00068-00000084.soi,polish,Polish,15,15,n ≈ m,Polish (n ≈ m),4,0.26666666666666666,11,0.0
00068-00000088.soi,polish,Polish,15,14,n ≈ m,Polish (n ≈ m),5,0.35714285714285715,4,0.0
00068-00000089.soi,polish,Polish,15,14,n ≈ m,Polish (n ≈ m),3,0.21428571428571427,12,0.0
00068-00000090.soi,polish,Polish,15,7,n ≫ m,Polish (n ≫ m),3,0.42857142857142855,7,0.12380952380952381
00068-00000091.soi,polish,Polish,21,10,n ≫ m,Polish (n ≫ m),4,0.4,9,0.0
00068-00000095.soi,polish,Polish,21,10,n ≫ m,Polish (n ≫ m),2,0.2,9,0.0
00068-00000096.soi,polish,Polish,21,7,n ≫ m,Polish (n ≫ m),3,0.42857142857142855,2,0.0
00068-00000097.soi,polish,Polish,21,7,n ≫ m,Polish (n ≫ m),2,0.2857142857142857,7,0.0
00068-00000099.soi,polish,Polish,21,9,n ≫ m,Polish (n ≫ m),2,0.2222222222222222,3,0.0
00068-00000102.soi,polish,Polish,21,9,n ≫ m,Polish (n ≫ m),5,0.5555555555555556,3,0.0
00068-00000105.soi,polish,Polish,15,14,n ≈ m,Polish (n ≈ m),2,0.14285714285714285,12,0.0
00068-00000106.soi,polish,Polish,15,7,n ≫ m,Polish (n ≫ m),3,0.42857142857142855,5,0.0
00068-00000107.soi,polish,Polish,20,9,n ≫ m,Polish (n ≫ m),2,0.2222222222222222,7,0.0
00068-00000108.soi,polish,Polish,15,7,n ≫ m,Polish (n ≫ m),3,0.42857142857142855,4,0.0
00068-00000112.soi,polish,Polish,21,7,n ≫ m,Polish (n ≫ m),3,0.42857142857142855,6,0.0
00068-00000113.soi,polish,Polish,21,19,n ≈ m,Polish (n ≈ m),3,0.15789473684210525,15,0.0
00068-00000115.soi,polish,Polish,15,5,n ≫ m,Polish (n ≫ m),3,0.6,1,0.0
00068-00000116.soi,polish,Polish,15,7,n ≫ m,Polish (n ≫ m),2,0.2857142857142857,6,0.0
00068-00000117.soi,polish,Polish,15,6,n ≫ m,Polish (n ≫ m),2,0.3333333333333333,4,0.0
00068-00000118.soi,polish,Polish,15,6,n ≫ m,Polish (n ≫ m),2,0.3333333333333333,3,0.0
00068-00000119.soi,polish,Polish,15,5,n ≫ m,Polish (n ≫ m),2,0.4,4,0.0
00068-00000120.soi,polish,Polish,15,5,n ≫ m,Polish (n ≫ m),2,0.4,1,0.0
00068-00000121.soi,polish,Polish,15,6,n ≫ m,Polish (n ≫ m),2,0.3333333333333333,6,0.0
00068-00000124.soi,polish,Polish,15,5,n ≫ m,Polish (n ≫ m),2,0.4,2,0.0
00068-00000125.soi,polish,Polish,15,6,n ≫ m,Polish (n ≫ m),2,0.3333333333333333,4,0.0
00068-00000126.soi,polish,Polish,15,7,n ≫ m,Polish (n ≫ m),3,0.42857142857142855,6,0.0
00068-00000128.soi,polish,Polish,21,8,n ≫ m,Polish (n ≫ m),4,0.5,6,0.0
00068-00000130.soi,polish,Polish,21,8,n ≫ m,Polish (n ≫ m),1,0.125,3,0.0
00068-00000133.soi,polish,Polish,15,7,n ≫ m,Polish (n ≫ m),4,0.5714285714285714,6,0.0
00068-00000134.soi,polish,Polish,21,9,n ≫ m,Polish (n ≫ m),1,0.1111111111111111,6,0.0
00068-00000136.soi,polish,Polish,15,6,n ≫ m,Polish (n ≫ m),2,0.3333333333333333,3,0.0
00068-00000137.soi,polish,Polish,21,4,n ≫ m,Polish (n ≫ m),1,0.25,3,0.0
00068-00000139.soi,polish,Polish,15,6,n ≫ m,Polish (n ≫ m),1,0.16666666666666666,2,0.0
00068-00000140.soi,polish,Polish,15,7,n ≫ m,Polish (n ≫ m),3,0.42857142857142855,6,0.0
00068-00000143.soi,polish,Polish,15,18,n ≈ m,Polish (n ≈ m),5,0.2777777777777778,3,0.0
00068-00000145.soi,polish,Polish,21,5,n ≫ m,Polish (n ≫ m),4,0.8,1,0.0
00068-00000147.soi,polish,Polish,21,9,n ≫ m,Polish (n ≫ m),4,0.4444444444444444,1,0.0
00068-00000149.soi,polish,Polish,21,6,n ≫ m,Polish (n ≫ m),1,0.16666666666666666,1,0.0
00068-00000152.soi,polish,Polish,15,5,n ≫ m,Polish (n ≫ m),3,0.6,3,0.0
00068-00000154.soi,polish,Polish,15,4,n ≫ m,Polish (n ≫ m),2,0.5,2,0.0
00068-00000157.soi,polish,Polish,15,5,n ≫ m,Polish (n ≫ m),2,0.4,5,0.06666666666666665
00068-00000160.soi,polish,Polish,15,5,n ≫ m,Polish (n ≫ m),3,0.6,4,0.0
00068-00000161.soi,polish,Polish,15,6,n ≫ m,Polish (n ≫ m),2,0.3333333333333333,4,0.0
00068-00000162.soi,polish,Polish,15,7,n ≫ m,Polish (n ≫ m),3,0.42857142857142855,6,0.0
00068-00000163.soi,polish,Polish,15,6,n ≫ m,Polish (n ≫ m),3,0.5,6,0.0
00068-00000165.soi,polish,Polish,15,4,n ≫ m,Polish (n ≫ m),1,0.25,4,0.016666666666666607
00068-00000166.soi,polish,Polish,15,6,n ≫ m,Polish (n ≫ m),2,0.3333333333333333,1,0.0
00068-00000167.soi,polish,Polish,21,9,n ≫ m,Polish (n ≫ m),4,0.4444444444444444,8,0.11111111111111116
00068-00000168.soi,polish,Polish,15,6,n ≫ m,Polish (n ≫ m),2,0.3333333333333333,5,0.0
00068-00000169.soi,polish,Polish,21,4,n ≫ m,Polish (n ≫ m),2,0.5,1,0.0
00068-00000170.soi,polish,Polish,15,6,n ≫ m,Polish (n ≫ m),2,0.3333333333333333,3,0.0
00068-00000171.soi,polish,Polish,15,5,n ≫ m,Polish (n ≫ m),4,0.8,2,0.0
00068-00000172.soi,polish,Polish,15,6,n ≫ m,Polish (n ≫ m),3,0.5,3,0.0
00068-00000173.soi,polish,Polish,15,6,n ≫ m,Polish (n ≫ m),2,0.3333333333333333,3,0.0
00068-00000174.soi,polish,Polish,21,7,n ≫ m,Polish (n ≫ m),3,0.42857142857142855,3,0.0
00068-00000175.soi,polish,Polish,15,6,n ≫ m,Polish (n ≫ m),2,0.3333333333333333,4,0.0
00068-00000176.soi,polish,Polish,21,8,n ≫ m,Polish (n ≫ m),1,0.125,2,0.0
00068-00000177.soi,polish,Polish,23,9,n ≫ m,Polish (n ≫ m),1,0.1111111111111111,2,0.0
00068-00000178.soi,polish,Polish,15,7,n ≫ m,Polish (n ≫ m),2,0.2857142857142857,1,0.0
00068-00000179.soi,polish,Polish,15,6,n ≫ m,Polish (n ≫ m),2,0.3333333333333333,4,0.10000000000000009
00068-00000180.soi,polish,Polish,15,7,n ≫ m,Polish (n ≫ m),4,0.5714285714285714,2,0.0
00068-00000185.soi,polish,Polish,15,5,n ≫ m,Polish (n ≫ m),2,0.4,3,0.0
00068-00000186.soi,polish,Polish,15,5,n ≫ m,Polish (n ≫ m),3,0.6,3,0.0
00068-00000188.soi,polish,Polish,15,5,n ≫ m,Polish (n ≫ m),3,0.6,3,0.0
00068-00000189.soi,polish,Polish,15,5,n ≫ m,Polish (n ≫ m),2,0.4,2,0.0
00068-00000192.soi,polish,Polish,15,5,n ≫ m,Polish (n ≫ m),2,0.4,1,0.0
00068-00000193.soi,polish,Polish,15,7,n ≫ m,Polish (n ≫ m),2,0.2857142857142857,3,0.0
00068-00000198.soi,polish,Polish,15,7,n ≫ m,Polish (n ≫ m),2,0.2857142857142857,7,0.0
00068-00000200.soi,polish,Polish,21,9,n ≫ m,Polish (n ≫ m),1,0.1111111111111111,1,0.0
00068-00000201.soi,polish,Polish,15,6,n ≫ m,Polish (n ≫ m),2,0.3333333333333333,5,0.0
